Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Front Office Football Seven,2015,$18.99,84,/,sports,8680,186.168,20.192
Virtual Pool 4,2015,$24.99,79,/,sports,8680,43.264,12.24
Franchise Hockey Manager 2,2015,$19.99,66,79,sports,8482,16.228,4.216
Rugby 15,2014,$19.99,24,/,sports,8482,15.108,1.108
Snooker Nation Championship,2016,$4.99,72,/,sports,8482,12.354,1.324
Carp Fishing Simulator,2015,$12.99,61,/,sports,8285,6.042,6.132
Paddle Up,2016,$9.99,92,/,sports,8088,2.3,1.18
Rugby Union Team Manager 2015,2014,$19.99,57,/,sports,8088,28.114,5.294
ACE Academy,2016,$19.99,96,/,sports,8088,11.06,9.342
Sword Master VR,2016,$9.99,76,/,sports,7693,1.09,0.318
R.B.I. Baseball 15,2015,$19.99,43,/,sports,7496,11.204,0.258
Pixel Cup Soccer 17,2016,$9.99,97,/,sports,7101,2.048,2.048
LOKA - League of keepers Allysium,2016,$19.99,79,/,sports,6904,1.156,0.144
Front Page Sports Football,2014,$19.99,12,/,sports,6904,0.23399999999999999,0.222
Fancy Skiing VR,2016,$9.99,79,/,sports,6707,9.192,1.018
#SelfieTennis,2016,$19.99,68,/,sports,6115,3.018,1.036
VIDEOBALL,2016,$9.99,85,82,sports,5918,2.072,1.1320000000000001
Bowl Bound College Football,2015,$19.99,58,80,sports,5918,40.072,28.084
Cyberpong VR,2016,$8.99,87,/,sports,5918,2.066,0.24599999999999997
The Golf Club VR,2016,$24.99,91,/,sports,5918,2.036,1.066
MadOut Open City,2016,$5.59,50,/,sports,5721,2.216,1.222
Zero-G VR,2016,$4.99,56,/,sports,5326,0.132,0.078
MotorSport Revolution,2015,$14.99,21,/,sports,5129,0.156,0.312
VR Ping Pong,2016,$9.99,85,/,sports,4932,1.054,1.054
Pro Basketball Manager 2016,2016,$19.99,41,/,sports,4734,6.234,5.174
MTB Downhill Simulator,2016,$7.99,11,/,sports,4340,0.324,0.162
Trackday Manager,2016,$11.99,66,/,sports,4340,20.078,8.27
MXGP - The Official Motocross Videogame Compact,2014,$9.99,66,/,sports,4143,6.048,3.168
Basketball Pro Management 2015,2014,$19.99,40,69,sports,3945,6.168,7.3
Aiball,2016,$1.99,66,/,sports,3945,0.156,0.084
Robot Arena III,2016,$19.99,35,/,sports,3748,5.132,4.324
Super Indie Karts,2015,$9.99,87,/,sports,3748,1.1139999999999999,1.108
Mortifero Motus,2017,$0.59,87,/,sports,3748,2.06,2.156
Shred! Downhill Mountain Biking,2015,$5.99,55,/,sports,3748,5.042,1.09
Formula Fusion,2015,$19.99,80,/,sports,3353,4.33,4.15
Super Arcade Football,2016,$9.99,83,/,sports,3156,1.33,1.036
Mark McMorris Infinite Air,2016,$29.99,85,/,sports,2959,13.132,16.324
Holodance,2016,$9.99,87,/,sports,2762,1.276,3.042
Altitude0: Lower & Faster,,$18.99,77,/,sports,2762,13.168,17.084
Rugby League Live 3,2015,$49.99,77,/,sports,2367,27.048,19.282
R.B.I. Baseball 16,2016,$19.99,38,/,sports,2367,8.036,3.168
Pro Wrestling X,2014,$9.99,68,/,sports,2367,0.084,0.11399999999999999
Pure Chess,2016,$12.99,70,/,sports,2367,11.054,19.054
Front Office Football Eight,2016,$29.99,83,/,sports,2170,68.18,117.096
Gridiron Solitaire,2014,$7.99,79,/,sports,1578,10.018,12.282
Axis Football 2016,2016,$19.99,72,/,sports,1578,2.156,2.348
Don Bradman Cricket 17,2017,$49.99,60,/,sports,986,16.228,18.258
