Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Tomb Raider: Legend,2007,$6.99,88,82,adventure,843298,4.15,1.054
Grim Dawn,2016,$24.99,93,83,adventure,832843,56.06,19.288
Deponia,2012,$19.99,90,74,adventure,832251,5.2459999999999996,3.27
Dear Esther,2012,$9.99,76,75,adventure,829687,1.192,1.012
Darksiders II Deathinitive Edition,2015,$29.99,75,/,adventure,828701,9.168,3.348
Assassin's Creed,2008,$19.99,83,79,adventure,823572,10.12,4.3
Bully: Scholarship Edition,2008,$14.99,87,72,adventure,823177,7.306,2.126
No Man's Sky,2016,$59.99,31,61,adventure,820810,27.03,15.354
Assassin's Creed Revelations,2011,$19.99,86,80,adventure,817062,20.108,13.312
The Incredible Adventures of Van Helsing,2013,$14.99,84,72,adventure,815681,9.33,4.096
La Tale,2014,Free,62,/,adventure,807594,5.036,0.222
Guacamelee! Gold Edition,2013,$14.99,94,88,adventure,806607,5.018,2.108
Little Inferno,2012,$9.99,93,68,adventure,803451,4.276,3.168
Cave Story+,2011,$14.99,96,83,adventure,793588,4.342,1.192
Resident Evil Revelations 2 / Biohazard Revelations 2,2015,$5.99,75,/,adventure,787867,12.318,3.12
Watch_Dogs,2014,$29.99,64,77,adventure,784711,26.294,16.018
METAL GEAR SOLID V: GROUND ZEROES,2014,$19.99,85,80,adventure,776229,6.162,3.048
The Talos Principle,2014,$39.99,96,85,adventure,775440,14.096,6.18
Deadbreed,2016,Free,60,/,adventure,773862,3.198,2.162
Stranded Deep,2015,$14.99,79,/,adventure,772678,10.126,4.204
Superbrothers: Sword & Sworcery EP,2012,$7.99,81,/,adventure,763999,1.312,0.168
Tomb Raider I,2012,$6.99,85,/,adventure,761040,2.162,0.108
Machinarium,2009,$9.99,95,85,adventure,755714,3.3,1.354
Dungeons & Dragons Online,2012,Free,76,/,adventure,755122,21.024,1.036
Tomb Raider II,2012,$6.99,89,/,adventure,752755,4.084,0.10200000000000001
MURDERED: SOUL SUSPECT,2014,$29.99,83,59,adventure,750190,5.24,3.192
Tomb Raider III: Adventures of Lara Croft,2012,$6.99,86,/,adventure,747823,4.234,0.072
The Swapper,2013,$14.99,97,87,adventure,743681,3.072,1.186
Resident Evil 7 / Biohazard 7 Teaser: Beginning Hour,2016,Free,85,/,adventure,725138,0.33,0.162
Remember Me,2013,$29.99,85,65,adventure,718431,7.216,4.042
Dungeon of the Endless,2014,$11.99,90,79,adventure,715866,11.12,4.066
Gang Beasts,2014,$19.99,74,/,adventure,715866,5.354,2.036
Gone Home,2013,$19.99,76,86,adventure,713499,2.168,1.318
Velvet Sundown,2014,Free,61,/,adventure,700874,1.006,0.108
Gauntlet,2014,$19.99,75,/,adventure,700085,7.24,3.324
Shadowrun: Dragonfall - Director's Cut,2014,$14.99,91,87,adventure,699888,15.294,5.162
resident evil 4 / biohazard 4,2014,$19.99,84,79,adventure,693379,10.228,3.066
Pixel Piracy,2014,$9.99,70,/,adventure,690420,7.018,3.0
BEEP,2011,$1.99,86,/,adventure,677597,2.204,1.09
Woodle Tree Adventures,2016,$2.99,65,/,adventure,672469,2.174,1.3
Dragon's Dogma: Dark Arisen,2016,$29.99,89,81,adventure,672074,30.282,9.21
Out There Somewhere,2016,$1.99,93,/,adventure,671680,2.204,1.228
Fable - The Lost Chapters,2011,$9.99,92,83,adventure,669904,11.09,3.204
Wasteland 2,2014,$39.99,82,87,adventure,655110,35.03,14.228
