#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median)
11,Endless Legend,"Sep 18, 2014",$10.49,56% (83%/82%),"944,061",25:17 (09:35)
14,Alien: Isolation,"Oct 6, 2014",$39.99,83% (92%/81%),"942,734",11:29 (04:13)
44,Valkyria Chronicles,"Nov 11, 2014",$6.79,83% (92%),"888,327",12:46 (05:13)
18,Total War: ATTILA,"Feb 17, 2015",$44.99,32% (71%/80%),"879,607",84:51 (30:03)
20,Sonic & All-Stars Racing Transformed,"Jan 31, 2013",$19.99,93% (95%/79%),"821,598",09:12 (04:02)
21,Rome: Total War - Alexander,"Aug 28, 2007",$4.99,34% (72%/79%),"765,106",05:12 (00:40)
26,Renegade Ops,"Oct 26, 2011",$15,70% (88%/76%),"733,637",02:48 (01:10)
31,Binary Domain,"Apr 27, 2012",$14.99,70% (88%/68%),"712,216",05:20 (01:07)
23,Sonic Generations,"Nov 3, 2011",$19.99,87% (93%/77%),"677,904",08:25 (02:12)
15,Football Manager 2017,"Nov 3, 2016",$49.99,3% (33%/81%),"613,071",124:21 (69:30)
78,Total War Battles: KINGDOM,"Apr 9, 2015",Free,9% (49%),"588,995",11:44 (00:53)
58,Sonic Adventure DX,"Mar 4, 2011",$7.99,54% (82%),"520,371",05:28 (00:53)
28,Alpha Protocol,"Jun 1, 2010",$14.99,52% (81%/72%),"484,921",08:45 (02:13)
22,Condemned: Criminal Origins,"Oct 29, 2012",$14.95,73% (89%/78%),"484,352",02:18 (00:44)
41,Aliens: Colonial Marines,,$29.99,12% (54%/45%),"431,462",09:44 (04:54)
72,Sonic Adventure 2,"Nov 19, 2012",$9.99,64% (86%),"409,851",09:46 (02:36)
61,Sonic CD,"Jan 19, 2012",$4.99,87% (93%),"298,573",02:11 (00:32)
75,Crazy Taxi,"Mar 4, 2011",$7.99,39% (75%),"285,683",00:48 (00:14)
51,The Typing of The Dead: Overkill,"Oct 29, 2013",$19.99,70% (88%),"278,479",03:08 (01:32)
32,The Cave,"Jan 23, 2013",$14.99,64% (86%/68%),"272,223",05:12 (02:39)
66,SEGA Bass Fishing,"Mar 4, 2011",$7.99,52% (81%),"264,640",01:19 (00:16)
52,Space Channel 5: Part 2,"Mar 4, 2011",$7.99,67% (87%),"264,072",02:17 (00:32)
81,NiGHTS into Dreams...,"Dec 17, 2012",$7.99,73% (89%),"257,437",01:26 (00:18)
45,SONIC THE HEDGEHOG 4 Episode I,"Jan 19, 2012",$9.99,12% (53%),"244,735",05:12 (00:43)
35,Sonic and SEGA All Stars Racing,"Mar 3, 2010",$9.99,47% (79%/65%),"225,589",05:28 (01:00)
40,SONIC THE HEDGEHOG 4 Episode II,"May 15, 2012",$9.99,52% (81%/54%),"223,883",03:19 (00:46)
73,SHOGUN: Total Warâ„¢ - Gold Edition,"Jun 25, 2015",$9.99,67% (87%),"173,646",11:05 (01:07)
47,Eastside Hockey Manager: Early Access,"Dec 1, 2015",$19.99,64% (86%),"127,391",86:29 (06:10)
68,MEDIEVAL: Total Warâ„¢ - Gold Edition,"Jun 25, 2015",$9.99,26% (67%),"126,443",20:19 (02:23)
70,Sonic Lost World,"Nov 2, 2015",$29.99,26% (67%),"123,979",05:01 (00:56)
12,Motorsport Manager,"Nov 9, 2016",$34.99,80% (91%/81%),"74,880",49:01 (28:15)
77,"Warhammer 40,000: Kill Team","May 22, 2014",$9.99,12% (54%),"70,899",02:50 (01:15)
54,Endless SpaceÂ® 2,"Oct 6, 2016",$29.99,52% (81%),"45,118",11:47 (03:31)
37,Space Siege,"Aug 14, 2008",$14.99,8% (48%/60%),"41,705",04:54 (01:40)
53,Tembo: The Badass Elephant,"Jul 21, 2015",$14.99,43% (77%),"32,037",02:13 (00:51)
33,The Club,"Feb 20, 2008",$14.99,9% (49%/67%),"24,265",00:56 (00:19)
