Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Cubicle Quest,2015,$4.99,77,/,simulation,138478,4.042,3.048
Drift Streets Japan,2015,$2.99,73,/,simulation,138084,10.108,3.066
SC2VN - The eSports Visual Novel,2015,Free,93,/,simulation,137887,9.156,0.144
Vengeance Road,2016,$1.99,74,/,simulation,137098,3.132,3.066
F1 2016,2016,$59.99,85,86,simulation,135914,35.318,15.33
Romance of the Three Kingdoms Maker,2015,$9.99,65,/,simulation,135914,12.192,0.054
Patrician III,2010,$4.99,76,75,simulation,135519,10.084,0.20400000000000001
Lunar Flight,2012,$14.99,85,/,simulation,134928,2.222,0.312
Destinations,2016,Free,95,/,simulation,134730,0.24599999999999997,0.108
Absolute Drift,2015,$11.99,90,66,simulation,134336,4.0,1.024
Monster Loves You!,2013,$9.99,77,/,simulation,134336,2.09,1.174
Silent Hunter III,2008,$9.99,88,90,simulation,134139,21.192,3.348
Holy Potatoes! A Weapon Shop!,2015,$14.99,80,69,simulation,134139,8.108,5.006
Paranormal Psychosis,2016,$0.99,32,/,simulation,134139,3.192,3.108
Enforcer: Police Crime Action,2014,$19.99,54,/,simulation,133547,6.0,4.03
War of Beach,2015,Free,59,/,simulation,133152,22.246,0.12
Order of Battle : Pacific,2015,Free,69,81,simulation,130982,25.066,1.204
Transport Fever,2016,$34.99,75,71,simulation,130588,44.324,21.06
Kenshi,,$19.99,85,/,simulation,129996,29.186,6.048
Imperium Romanum: Gold Edition,2008,$9.99,82,63,simulation,129602,8.138,1.324
The Guild Gold Edition,2014,$9.99,71,82,simulation,129404,3.042,0.138
Kinetic Void,2014,$19.99,26,/,simulation,129404,3.27,1.126
Universal Combat CE,2015,$9.99,38,/,simulation,128418,2.318,0.06
Sepia Tears,2016,Free,89,/,simulation,128418,1.138,0.10200000000000001
HomeBehind,2016,$5.99,90,/,simulation,128024,13.036,8.282
Influent,2014,$9.99,74,/,simulation,127037,1.3479999999999999,0.18
Tea Party Simulator 2015,2015,$9.99,65,/,simulation,125459,4.036,4.066
RollerCoaster Tycoon World,2016,$34.99,30,43,simulation,124078,10.138,3.324
VA-11 HALL-A,2016,$14.99,98,/,simulation,123684,8.024,4.354
Fairytales: Three Heroes,2015,$4.99,78,/,simulation,123289,4.198,4.096
Train Valley,2015,$9.99,91,69,simulation,122500,5.21,2.09
Job Simulator,2016,$29.99,87,/,simulation,120133,4.072,2.054
Air Conflicts: Pacific Carriers,2012,$12.99,42,/,simulation,118949,5.06,0.288
Out of the Park Baseball 17,2016,$19.99,91,92,simulation,118752,86.228,6.0
