Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
LuckCatchers,2016,Free,54,/,MMO,159388,7.2459999999999996,0.06
Karos Returns,2015,Free,74,/,MMO,155640,2.096,0.12
UFO Online: Invasion,2016,Free,53,/,MMO,151301,4.2459999999999996,0.144
Gladiators Online: Death Before Dishonor,2015,Free,42,/,MMO,149920,2.036,0.11399999999999999
Lucent Heart F2P MMO,2016,Free,50,/,MMO,148736,2.102,0.096
BattleSpace,2015,Free,31,/,MMO,141043,1.036,0.006
Galaxy Control: 3D Strategy,2016,Free,46,/,MMO,139070,7.066,0.138
Survival: Postapocalypse Now,2015,$2.49,57,/,MMO,138873,7.258,2.03
Drift Streets Japan,2015,$2.99,73,/,MMO,138084,10.108,3.066
Sphere III: Enchanted World,2015,Free,45,/,MMO,134928,2.09,0.198
Legend of Dungeon: Masters,2015,Free,60,/,MMO,132758,1.006,0.018
Fantasy Tales Online,2016,Free,76,/,MMO,132166,1.186,0.096
Immune,2015,$0.99,60,/,MMO,130588,2.3,0.21
Allods Online RU,2016,Free,62,/,MMO,130193,9.306,0.03
Kalonline,2016,Free,51,/,MMO,130193,54.258,0.10200000000000001
16 Bit Arena,2015,Free,68,/,MMO,129602,0.012,0.006
Red Stone Online,,Free,56,/,MMO,126248,5.348,0.09
Ryzom,2016,Free,59,64,MMO,125065,2.306,0.10200000000000001
Subspace Continuum,2015,Free,87,/,MMO,121908,2.306,0.048
Crush Online,2016,Free,55,/,MMO,121514,5.312,0.168
Eternal Card Game,2016,Free,84,/,MMO,118949,18.318,2.078
Helmet Heroes,2016,Free,38,/,MMO,116977,1.342,0.10200000000000001
AltspaceVR,2016,Free,87,/,MMO,116780,1.318,0.12
Alganon,2015,Free,36,/,MMO,116385,1.066,0.10200000000000001
Winning Putt,2016,Free,67,/,MMO,115399,7.096,0.216
Allods Online My.com,2016,Free,62,/,MMO,114412,4.054,0.3
Cards and Castles,2015,Free,69,/,MMO,112637,5.282,1.126
SAGA,2015,Free,46,61,MMO,106719,0.108,0.042
PWI,2016,Free,48,/,MMO,106522,26.078,0.264
Path of War,2016,Free,50,/,MMO,106325,7.336,0.15
Atom Universe,2016,Free,47,/,MMO,99815,0.15,0.06
"Warhammer 40,000 : Eternal Crusade",2016,$49.99,58,/,MMO,98829,31.132,6.33
Elemental Heroes,2016,Free,57,/,MMO,95081,5.066,0.126
Florensia,2016,Free,55,/,MMO,93897,3.186,0.096
