Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Cave Story+,2011,$14.99,96,83,indie,793588,4.342,1.192
The Talos Principle,2014,$39.99,96,85,indie,775440,14.096,6.18
Deadbreed,2016,Free,60,/,indie,773862,3.198,2.162
Stranded Deep,2015,$14.99,79,/,indie,772678,10.126,4.204
Superbrothers: Sword & Sworcery EP,2012,$7.99,81,/,indie,763999,1.312,0.168
Universe Sandbox,2011,Free,81,83,indie,761237,11.048,0.34199999999999997
Machinarium,2009,$9.99,95,85,indie,755714,3.3,1.354
Uplink,2006,$9.99,92,75,indie,755122,2.33,0.198
Frozen Synapse,2011,$24.99,82,85,indie,750979,4.126,1.15
The Swapper,2013,$14.99,97,87,indie,743681,3.072,1.186
Who's Your Daddy,2016,$4.99,77,/,indie,742891,2.288,1.1320000000000001
Project Zomboid,2013,$14.99,90,/,indie,738157,20.216,6.084
Serious Sam Classic: The First Encounter,2010,$99.99,97,87,indie,730858,2.072,0.222
Serious Sam Classic: The Second Encounter,2010,$99.99,97,85,indie,730858,3.294,0.18
Serious Sam Classics: Revolution,2014,$9.99,92,/,indie,730858,4.072,0.288
The Banner Saga,2014,$19.99,90,80,indie,724941,9.138,4.294
Factorio,2016,$20,98,/,indie,721390,57.318,26.108
Dungeon of the Endless,2014,$11.99,90,79,indie,715866,11.12,4.066
Gang Beasts,2014,$19.99,74,/,indie,715866,5.354,2.036
Gone Home,2013,$19.99,76,86,indie,713499,2.168,1.318
Villagers and Heroes,2014,Free,56,/,indie,707384,6.192,0.168
Darwinia,2005,$9.99,77,84,indie,704031,1.324,0.084
Nether,2014,$4.99,45,57,indie,701269,10.072,2.354
Velvet Sundown,2014,Free,61,/,indie,700874,1.006,0.108
Shadowrun: Dragonfall - Director's Cut,2014,$14.99,91,87,indie,699888,15.294,5.162
Hunger Dungeon,2016,Free,75,/,indie,699691,0.324,0.12
"Pirates, Vikings, & Knights II",2010,Free,88,/,indie,694957,10.192,1.018
Pixel Piracy,2014,$9.99,70,/,indie,690420,7.018,3.0
Receiver,2013,$4.99,78,/,indie,684107,1.168,0.126
Dead Bits,2014,$0.49,57,/,indie,682529,3.258,1.3
BEEP,2011,$1.99,86,/,indie,677597,2.204,1.09
Viscera Cleanup Detail: Santa's Rampage,2013,$2.49,91,/,indie,675033,2.282,1.15
Woodle Tree Adventures,2016,$2.99,65,/,indie,672469,2.174,1.3
Teeworlds,2015,Free,90,/,indie,671877,3.132,0.144
Out There Somewhere,2016,$1.99,93,/,indie,671680,2.204,1.228
Nidhogg,2014,$14.99,87,81,indie,666551,3.006,1.156
Space Pirates and Zombies,2011,$9.99,92,74,indie,666354,15.276,2.324
Anarchy Arcade,2014,Free,69,/,indie,656490,1.216,0.09
Wasteland 2,2014,$39.99,82,87,indie,655110,35.03,14.228
You Have to Win the Game,2014,Free,92,/,indie,652151,2.084,0.138
Shakes and Fidget,2016,Free,86,/,indie,652151,49.156,1.204
Multiwinia,2008,$9.99,84,76,indie,650572,2.054,0.096
Depth,2014,$19.99,87,65,indie,649389,7.018,3.108
Crypt of the NecroDancer,2015,$14.99,97,87,indie,645049,10.06,4.06
Jamestown,2011,$9.99,96,81,indie,641104,1.33,0.27
Dwarfs F2P,2012,Free,85,/,indie,640907,1.324,0.24599999999999997
Infinity Wars - Animated Trading Card Game,2014,Free,81,/,indie,639329,12.09,1.12
The Plan,2014,Free,92,/,indie,639131,1.078,0.042
Cthulhu Saves the World,2011,$2.99,93,78,indie,638737,3.162,1.24
