Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Nether,2014,$4.99,45,57,RPG,701144,11.09,3.006
Shadowrun: Dragonfall - Director's Cut,2014,$14.99,91,87,RPG,696918,15.354,5.276
Might & Magic: Heroes VI,2011,$19.99,49,77,RPG,688466,50.114,17.06
Dragon's Dogma: Dark Arisen,2016,$29.99,89,81,RPG,685045,29.198,9.288
Velvet Sundown,2014,Free,61,/,RPG,683032,1.156,0.11399999999999999
Out There Somewhere,2016,$1.99,93,/,RPG,682227,2.174,1.228
Divinity II: Developer's Cut,2012,$19.99,84,/,RPG,672970,11.012,1.246
Pixel Piracy,2014,$9.99,70,/,RPG,672165,7.09,2.33
Child of Light,2014,$14.99,93,77,RPG,669750,8.168,2.324
S.T.A.L.K.E.R.: Clear Sky,2008,$9.99,85,75,RPG,668744,14.27,3.3
Dragon Nest,2012,Free,82,/,RPG,667335,25.09,2.156
BEEP,2011,$0.49,86,/,RPG,666530,2.246,1.1139999999999999
Crypt of the NecroDancer,2015,$14.99,97,87,RPG,660694,9.354,4.006
Cthulhu Saves the World,2011,$0.95,93,78,RPG,658279,3.126,1.246
Fable - The Lost Chapters,2011,$9.99,92,83,RPG,654656,10.012,3.126
FINAL FANTASY XIII,2014,$15.99,72,/,RPG,654656,22.054,8.108
Space Pirates and Zombies,2011,$9.99,92,74,RPG,654455,15.138,2.342
Wasteland 2,2014,$39.99,82,87,RPG,652644,33.21,14.0
Shakes and Fidget,2016,Free,86,/,RPG,652443,47.294,1.252
Digimon Masters Online,2016,Free,70,/,RPG,646607,6.294,0.144
C9,2012,Free,75,/,RPG,636947,6.174,0.078
Baldur's Gate: Enhanced Edition,2013,$19.99,84,78,RPG,627891,26.24,4.084
EverQuest II,2011,Free,75,83,RPG,626884,38.294,2.222
E.Y.E: Divine Cybermancy,2011,$9.99,82,/,RPG,624469,6.2459999999999996,2.168
Amazing World,2014,Free,76,/,RPG,616419,1.258,0.15
