Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Adventure Park,2013,$19.99,13,49,strategy,19529,1.174,0.3
Age of Fear: The Undead King,2015,$14.99,88,/,strategy,19529,5.192,4.018
Call of Cthulhu: The Wasted Land,2014,Free,66,/,strategy,19529,5.078,1.162
Fallen: A2P Protocol,2015,$19.99,42,/,strategy,19529,4.2459999999999996,1.12
ADOM (Ancient Domains Of Mystery),2015,$14.99,90,/,strategy,19529,14.348,3.354
Battle Fleet 2,2014,$14.99,77,/,strategy,19529,9.3,3.246
Battle Academy,2014,$14.99,86,/,strategy,19332,30.276,7.114
Club Manager 2015,2014,$9.99,44,/,strategy,19332,22.306,8.222
Gratuitous Space Battles 2,2015,$9.99,49,/,strategy,19332,3.324,1.21
Entropy,2013,$19.99,34,/,strategy,19332,9.222,2.06
Disciples Sacred Lands Gold,2014,$7.99,77,/,strategy,19134,10.144,0.156
Painters Guild,2015,$4.99,67,/,strategy,19134,4.174,2.342
Oriental Empires,2016,$29.99,83,/,strategy,19134,14.024,5.066
Pizza Express,2015,$6.99,94,/,strategy,18937,4.018,3.024
Dungeonmans,2014,$9.89,90,/,strategy,18937,20.162,7.294
Fantasy Grounds,2014,$39.99,74,/,strategy,18740,39.246,5.15
GearCity,2014,$16.99,80,/,strategy,18740,13.174,4.324
Way of Gold and Steel,2015,$6.99,61,/,strategy,18543,3.024,2.33
The Bluecoats: North vs South,2015,$1.49,44,/,strategy,18543,1.324,1.27
Perfect Golf,2016,$34.99,66,/,strategy,18543,54.252,2.15
Thrillville: Off the Rails,2009,$9.99,86,70,strategy,18345,5.132,3.006
Age Of Gladiators,2016,$9.99,83,/,strategy,18345,7.162,3.12
Boss Monster,2016,$4.99,60,/,strategy,18345,4.06,2.252
Evopollution,2014,$0.49,30,/,strategy,18148,2.294,2.24
Kohan II: Kings of War,2011,$9.99,93,81,strategy,17951,7.036,3.2640000000000002
A Druid's Duel,2015,$7.99,76,70,strategy,17951,4.222,1.24
Distant Star: Revenant Fleet,2015,$9.99,63,/,strategy,17951,5.0,1.3479999999999999
Inside a Star-filled Sky,2011,$7.99,71,/,strategy,17951,1.312,0.138
Crystal Story II,2015,$2.99,92,/,strategy,17951,6.312,3.318
